label,x,y,z
3 44,299226.3271048818,6696034.615848371,69.14089
3 45,299227.22800585383,6696034.307610862,69.08088
3 46,299228.12890682585,6696033.999373353,69.086136
3 47,299229.02980779787,6696033.691135844,69.06554
3 48,299229.9307087699,6696033.382898335,69.06554
3 49,299230.83160974184,6696033.0746608265,69.06358
3 50,299231.73251071386,6696032.766423318,69.04268
3 51,299232.6334116859,6696032.458185809,69.05106
3 52,299233.5343126579,6696032.1499483,69.03308
3 53,299234.4352136299,6696031.841710791,69.06158
3 54,299235.33611460193,6696031.533473282,68.958336
3 55,299236.23701557395,6696031.225235773,68.94763
3 56,299237.1379165459,6696030.916998264,69.0258
3 57,299238.0388175179,6696030.6087607555,68.97124
3 58,299238.93971848994,6696030.300523247,68.97124
3 59,299239.84061946196,6696029.992285738,69.018906
3 60,299240.741520434,6696029.684048229,68.9767
3 61,299241.642421406,6696029.37581072,68.905594
3 62,299242.543322378,6696029.067573211,68.8889
3 63,299243.44422335003,6696028.759335702,68.931915
3 64,299244.345124322,6696028.451098193,68.91524
3 65,299245.246025294,6696028.142860685,68.88742
3 66,299246.146926266,6696027.834623176,68.95186
3 67,299247.04782723804,6696027.526385667,68.94638
3 68,299247.94872821006,6696027.218148158,68.94638
3 69,299248.8496291821,6696026.909910649,69.04212
3 70,299249.7505301541,6696026.60167314,68.99428
3 71,299250.65143112605,6696026.293435631,68.962494
3 72,299251.5523320981,6696025.985198122,69.007256
3 73,299252.4532330701,6696025.6769606145,69.02192
3 74,299253.3541340421,6696025.368723106,69.09633
3 75,299254.2550350141,6696025.060485597,69.07796
3 76,299255.15593598614,6696024.752248088,69.17496
3 77,299256.05683695816,6696024.444010579,69.19234
3 78,299256.9577379301,6696024.13577307,69.19234
3 79,299257.85863890214,6696023.827535561,69.169624
3 80,299258.75953987415,6696023.519298052,69.15281
3 81,299259.6604408462,6696023.211060544,69.119255
3 82,299260.5613418182,6696022.902823035,69.183044
3 83,299261.4622427902,6696022.594585526,69.136734
3 84,299262.3631437622,6696022.286348017,69.103775
3 85,299263.26404473424,6696021.978110508,69.14543
3 86,299264.1649457062,6696021.669872999,69.13308
3 87,299265.0658466782,6696021.36163549,69.10339
3 88,299265.96674765024,6696021.053397981,69.10339
3 89,299266.86764862225,6696020.745160473,69.084946
3 90,299267.7685495943,6696020.436922964,69.01061
3 91,299268.6694505663,6696020.128685455,69.0512
3 92,299269.5703515383,6696019.820447946,69.11302
3 93,299270.47125251027,6696019.512210437,69.129616
3 94,299271.3721534823,6696019.203972928,69.069534
3 95,299272.2730544543,6696018.895735419,69.117325
3 96,299273.1739554263,6696018.5874979105,69.12637
4 1,299167.90931803396,6696082.995810308,71.60187
4 2,299167.6761478062,6696083.979028058,71.58606
4 3,299167.4429775785,6696084.962245808,71.52526
4 4,299167.2098073508,6696085.945463559,71.47245
4 5,299166.9766371231,6696086.928681308,71.54552
4 6,299166.74346689536,6696087.911899059,71.5101
4 7,299166.51029666763,6696088.895116809,71.49932
4 8,299166.2771264399,6696089.8783345595,71.451195
4 9,299166.04395621223,6696090.86155231,71.36965
4 10,299165.8107859845,6696091.84477006,71.48176
4 11,299165.5776157568,6696092.827987811,71.467186
4 12,299165.34444552904,6696093.81120556,71.42514
4 13,299165.1112753013,6696094.794423311,71.28868
4 14,299164.87810507364,6696095.777641062,71.39678
4 15,299164.6449348459,6696096.760858811,71.33174
4 16,299164.4117646182,6696097.744076562,71.28617
4 17,299164.17859439045,6696098.727294312,71.26171
4 18,299163.9454241627,6696099.710512063,71.33339
4 19,299163.71225393505,6696100.693729812,71.297455
4 20,299163.4790837073,6696101.676947563,71.189674
4 21,299163.2459134796,6696102.660165314,71.10843
4 22,299163.01274325186,6696103.643383063,70.99241
4 23,299162.77957302413,6696104.626600814,71.04843
4 24,299162.54640279646,6696105.609818564,71.00343
4 25,299162.31323256873,6696106.5930363145,70.95183
4 26,299162.080062341,6696107.576254064,70.76165
4 27,299161.8468921133,6696108.559471815,70.87721
4 28,299161.61372188554,6696109.542689566,70.757225
4 29,299161.3805516579,6696110.525907315,70.645676
4 30,299161.14738143014,6696111.509125066,70.6097
4 31,299160.9142112024,6696112.492342816,70.778564
4 32,299160.6810409747,6696113.475560566,70.736664
4 33,299160.44787074695,6696114.458778317,70.79271
4 34,299160.2147005193,6696115.441996067,70.75406
4 35,299159.98153029155,6696116.4252138175,70.90285
4 36,299159.7483600638,6696117.408431567,70.798294
4 37,299159.5151898361,6696118.391649318,70.69782
4 38,299159.28201960836,6696119.374867068,70.58562
4 39,299159.0488493807,6696120.358084818,70.48265
4 40,299158.81567915296,6696121.341302569,70.584885
4 41,299158.58250892523,6696122.324520319,70.57906
4 42,299158.3493386975,6696123.307738069,70.588936
4 43,299158.1161684698,6696124.290955819,70.594795
4 44,299157.8829982421,6696125.27417357,70.68592
4 45,299157.6498280144,6696126.25739132,70.724686
4 46,299157.41665778664,6696127.24060907,70.72051
4 47,299157.1834875589,6696128.223826821,70.7245
4 48,299156.9503173312,6696129.207044571,70.75467
4 49,299156.7171471035,6696130.190262321,70.7584
4 50,299156.4839768758,6696131.173480071,70.728714
