label,x,y,z,buried
6 24,613086.9510526316,6651410.132421053,128.24902,0
6 25,613087.8463157895,6651410.582526316,128.28262,0
6 26,613088.7415789474,6651411.032631579,128.34454,0
6 27,613089.6368421053,6651411.482736843,128.29749,0
6 28,613090.5321052632,6651411.932842106,128.33736,0
6 29,613091.4273684211,6651412.382947369,128.26413,0
6 30,613092.3226315789,6651412.8330526315,128.30702,0
6 31,613093.2178947368,6651413.283157895,128.34807,0
6 32,613094.1131578947,6651413.733263158,128.29181,0
6 33,613095.0084210526,6651414.183368421,128.3153,0
6 34,613095.9036842105,6651414.633473684,128.34433,0
6 35,613096.7989473684,6651415.083578948,128.29184,0
6 36,613097.6942105263,6651415.533684211,128.28836,0
6 37,613098.5894736842,6651415.983789474,128.21954,0
6 38,613099.4847368421,6651416.433894737,128.20915,0
6 39,613100.38,6651416.884000001,128.20021,0
6 40,613101.2752631579,6651417.334105263,128.11954,0
6 41,613102.1705263158,6651417.784210526,128.09778,0
6 42,613103.0657894737,6651418.234315789,128.07567,0
6 43,613103.9610526316,6651418.684421053,128.00919,0
6 44,613104.8563157895,6651419.134526316,127.99962,0
6 45,613105.7515789474,6651419.584631579,127.98639,0
6 46,613106.6468421053,6651420.034736842,127.935936,0
6 47,613107.5421052632,6651420.484842106,127.935715,0
6 48,613108.4373684211,6651420.934947369,127.919075,0
6 49,613109.3326315789,6651421.385052632,127.96583,0
6 50,613110.2278947368,6651421.8351578945,127.998795,0
6 51,613111.1231578947,6651422.285263158,128.01085,0
6 52,613112.0184210526,6651422.735368421,128.06921,0
6 53,613112.9136842105,6651423.185473684,128.1265,0
6 54,613113.8089473684,6651423.635578947,128.14781,0
6 55,613114.7042105263,6651424.085684211,128.18906,0
6 56,613115.5994736842,6651424.535789474,128.19821,0
6 57,613116.4947368421,6651424.985894737,128.25745,0
6 58,613117.39,6651425.436,128.25745,0
6 59,613118.2852631579,6651425.886105264,128.28966,0
6 60,613119.1805263158,6651426.3362105265,128.35713,0
6 61,613120.0757894737,6651426.786315789,128.41867,0
6 62,613120.9710526316,6651427.236421052,128.4547,0
6 63,613121.8663157895,6651427.686526316,128.51988,0
6 64,613122.7615789474,6651428.136631579,128.58113,0
6 65,613123.6568421053,6651428.586736842,128.59235,0
6 66,613124.5521052632,6651429.036842105,128.649,0
6 67,613125.4473684211,6651429.486947369,128.6713,0
6 68,613126.3426315789,6651429.937052632,128.71492,0
6 69,613127.2378947368,6651430.387157895,128.77423,0
6 70,613128.1331578947,6651430.837263158,128.78932,0
